ITHACA CORNELL UNIV, NY - January 1893
Date	Maximum Temperature	Minimum Temperature	At Obs Temperature	Average Temperature	Avg Temperature Departure	Precipitation	Snowfall	Snow Depth
Sep 17	65	38	-	51.5	-8.2	0.00	0.0	0
Sep 18	64	54	-	59.0	-0.3	0.36	0.0	0
Sep 19	81	53	-	67.0	8.1	0.00	0.0	0
Sep 20	76	60	-	68.0	9.5	Trace	0.0	0
Sep 21	76	59	-	67.5	9.4	0.27	0.0	0
Sep 22	62	52	-	57.0	-0.6	0.02	0.0	0
Sep 23	63	53	-	58.0	0.8	0.52	0.0	0
Sep 24	68	39	-	53.5	-3.3	0.00	0.0	0
Sep 25	63	40	-	51.5	-4.9	0.00	0.0	0
Sep 26	70	41	-	55.5	-0.4	0.00	0.0	0
Sep 27	64	40	-	52.0	-3.5	0.00	0.0	0
Sep 28	74	51	-	62.5	7.4	0.00	0.0	0
Sep 29	57	31	-	44.0	-10.7	0.00	0.0	0
Sep 30	62	34	-	48.0	-6.3	0.00	0.0	0
Sum	2069	1385	-	-	-	1.76	0.0	-
Average	69	46.2	-	57.6	-2.4	-	-	0
Normal	71.1	49.0	-	60	-	3.69	0.0	-
More information
ITHACA CORNELL UNIV, NY - October 1988
Date	Maximum Temperature	Minimum Temperature	At Obs Temperature	Average Temperature	Avg Temperature Departure	Precipitation	Snowfall	Snow Depth
Oct 1	75	51	-	63.0	9.1	0.00	0.0	0
Oct 2	79	61	-	70.0	16.5	0.00	0.0	0
Oct 3	70	50	-	60.0	6.9	0.01	0.0	0
Oct 4	62	46	-	54.0	1.3	0.00	0.0	0
Oct 5	60	42	-	51.0	-1.3	0.00	0.0	0
Oct 6	52	41	-	46.5	-5.4	0.06	0.0	0
Oct 7	44	31	-	37.5	-14.0	0.07	0.0	0
Oct 8	52	31	-	41.5	-9.6	0.00	0.0	0
Oct 9	52	28	-	40.0	-10.8	0.00	0.0	0
Oct 10	46	31	-	38.5	-11.9	0.22	0.0	0
Oct 11	58	44	-	51.0	0.9	0.07	0.0	0
Oct 12	51	33	-	42.0	-7.7	0.02	0.0	0
Oct 13	45	35	-	40.0	-9.4	0.06	0.0	0
Oct 14	39	27	-	33.0	-16.0	0.00	0.0	0
Oct 15	58	31	-	44.5	-4.2	0.00	0.0	0
Oct 16	70	44	-	57.0	8.6	0.11	0.0	0
Oct 17	73	50	-	61.5	13.4	0.00	0.0	0
Oct 18	71	54	-	62.5	14.7	0.03	0.0	0
Oct 19	63	34	-	48.5	1.0	0.13	0.0	0
Oct 20	53	28	-	40.5	-6.7	0.02	0.0	0
Oct 21	50	30	-	40.0	-6.9	0.00	0.0	0
Oct 22	49	32	-	40.5	-6.1	1.36	5.0	5
Oct 23	36	32	-	34.0	-12.4	0.53	1.5	3
Oct 24	50	36	-	43.0	-3.1	0.13	0.0	0
Oct 25	51	37	-	44.0	-1.8	0.03	0.0	0
Oct 26	42	30	-	36.0	-9.6	Trace	0.0	0
Oct 27	40	28	-	34.0	-11.3	0.03	Trace	0
Oct 28	47	30	-	38.5	-6.5	0.00	0.0	0
Oct 29	53	35	-	44.0	-0.8	0.02	0.0	0
Oct 30	46	26	-	36.0	-8.5	0.00	0.0	0
Oct 31	40	18	-	29.0	-15.3	Trace	Trace	0
Sum	1677	1126	-	-	-	2.90	6.5	-
Average	54.1	36.3	-	45.2	-3.5	-	-	0.3
Normal	59.0	38.3	-	48.7	-	3.42	0.4	-
More information
ITHACA CORNELL UNIV, NY - November 1988
Date	Maximum Temperature	Minimum Temperature	At Obs Temperature	Average Temperature	Avg Temperature Departure	Precipitation	Snowfall	Snow Depth
Nov 1	44	29	-	36.5	-7.5	0.00	0.0	0
Nov 2	44	36	-	40.0	-3.7	0.41	0.0	0
Nov 3	40	33	-	36.5	-7.0	0.21	0.0	0
Nov 4	52	32	-	42.0	-1.2	0.00	0.0	0
Nov 5	64	43	-	53.5	10.6	0.00	0.0	0
Nov 6	65	44	-	54.5	11.8	0.88	0.0	0
Nov 7	56	35	-	45.5	3.1	0.02	0.0	0
Nov 8	40	34	-	37.0	-5.1	Trace	0.0	0
Nov 9	44	38	-	41.0	-0.8	0.10	0.0	0
Nov 10	46	37	-	41.5	0.0	0.01	0.0	0
Nov 11	56	40	-	48.0	6.8	0.07	0.0	0
Nov 12	41	33	-	37.0	-3.9	0.00	0.0	0
Nov 13	46	33	-	39.5	-1.1	Trace	0.0	0
Nov 14	53	32	-	42.5	2.2	0.07	0.0	0
Nov 15	61	27	-	44.0	4.0	0.00	0.0	0
Nov 16	53	32	-	42.5	2.8	0.00	0.0	0
Nov 17	60	40	-	50.0	10.7	0.13	0.0	0
Nov 18	47	35	-	41.0	2.0	0.00	0.0	0
Nov 19	43	25	-	34.0	-4.6	0.00	0.0	0
Nov 20	40	29	-	34.5	-3.8	0.33	0.0	0
Nov 21	52	36	-	44.0	6.1	0.35	0.0	0
Nov 22	37	30	-	33.5	-4.1	Trace	Trace	0
Nov 23	39	20	-	29.5	-7.7	0.00	0.0	0
Nov 24	35	22	-	28.5	-8.3	0.00	0.0	0
Nov 25	38	22	-	30.0	-6.4	0.00	0.0	0
Nov 26	49	26	-	37.5	1.5	0.00	0.0	0
Nov 27	59	37	-	48.0	12.3	Trace	0.0	0
Nov 28	64	38	-	51.0	15.7	0.18	0.0	0
Nov 29	43	33	-	38.0	3.1	0.02	Trace	0
Nov 30	39	29	-	34.0	-0.5	0.00	0.0	0
Sum	1450	980	-	-	-	2.78	Trace	-
Average	48.3	32.7	-	40.5	0.9	-	-	0
Normal	47.5	31.7	-	39.6	-	3.16	4.5	-
More information
ITHACA CORNELL UNIV, NY - December 1988
Date	Maximum Temperature	Minimum Temperature	At Obs Temperature	Average Temperature	Avg Temperature Departure	Precipitation	Snowfall	Snow Depth
Dec 1	49	34	-	41.5	7.4	-	-	0
Dec 2	37	26	-	31.5	-2.2	0.02	0.1	Trace
Dec 3	35	25	-	30.0	-3.3	-	-	-
Dec 4	56	21	-	38.5	5.6	0.01	0.1	Trace
Dec 5	34	21	-	27.5	-5.0	0.01	0.2	Trace
Dec 6	36	22	-	29.0	-3.1	-	-	-
Dec 7	55	28	-	41.5	9.8	-	-	-
Dec 8	45	28	-	36.5	5.2	-	-	-
Dec 9	37	19	-	28.0	-2.9	-	-	-
Dec 10	29	9	-	19.0	-11.5	0.03	0.6	1
Dec 11	25	9	-	17.0	-13.1	0.13	4.0	5
Dec 12	13	-19	-	-3.0	-32.7	0.01	Trace	5
Dec 13	11	-17	-	-3.0	-32.4	-	-	4
Dec 14	20	11	-	15.5	-13.5	Trace	Trace	3
Dec 15	41	13	-	27.0	-1.7	0.12	1.5	3
Dec 16	37	11	-	24.0	-4.3	Trace	Trace	2
Dec 17	22	9	-	15.5	-12.5	-	-	2
Dec 18	22	7	-	14.5	-13.2	Trace	Trace	2
Dec 19	24	17	-	20.5	-6.8	Trace	0.1	2
Dec 20	43	22	-	32.5	5.5	-	-	Trace
Dec 21	57	42	-	49.5	22.8	-	-	-
Dec 22	47	22	-	34.5	8.1	-	-	-
Dec 23	32	18	-	25.0	-1.2	Trace	-	-
Dec 24	41	30	-	35.5	9.6	-	-	-
Dec 25	46	31	-	38.5	12.8	0.23	-	-
Dec 26	35	23	-	29.0	3.6	0.05	0.3	Trace
Dec 27	29	17	-	23.0	-2.2	0.01	0.1	Trace
Dec 28	41	26	-	33.5	8.5	0.04	-	-
Dec 29	39	22	-	30.5	5.7	0.34	2.0	2
Dec 30	27	13	-	20.0	-4.6	-	-	2
Dec 31	29	18	-	23.5	-0.9	-	-	1
Sum	1094	558	-	-	-	1.00	9.0	-
Average	35.3	18	-	26.6	-2.1	-	-	1.7
Normal	35.8	21.5	-	28.7	-	2.40	12.6	-
More information
ITHACA CORNELL UNIV, NY - January 1989
Date	Maximum Temperature	Minimum Temperature	At Obs Temperature	Average Temperature	Avg Temperature Departure	Precipitation	Snowfall	Snow Depth
Jan 1	33	20	-	26.5	2.3	0.00	0.0	1
Jan 2	34	23	-	28.5	4.4	0.00	0.0	1
Jan 3	39	22	-	30.5	6.6	Trace	Trace	Trace
Jan 4	26	0	-	13.0	-10.8	0.10	1.4	1
Jan 5	8	-1	-	3.5	-20.2	0.06	1.8	3
Jan 6	19	3	-	11.0	-12.6	0.04	0.6	3
Jan 7	26	17	-	21.5	-2.0	0.03	0.8	4
Jan 8	40	26	-	33.0	9.6	0.07	0.0	Trace
Jan 9	48	25	-	36.5	13.2	0.00	0.0	0
Jan 10	26	7	-	16.5	-6.8	0.05	1.5	1
Jan 11	35	16	-	25.5	2.3	Trace	Trace	Trace
Jan 12	33	16	-	24.5	1.3	0.00	0.0	Trace
Jan 13	41	25	-	33.0	9.9	0.02	0.0	Trace
Jan 14	29	13	-	21.0	-2.1	0.00	0.0	Trace
Jan 15	38	17	-	27.5	4.4	Trace	0.0	Trace
Jan 16	42	27	-	34.5	11.5	Trace	0.0	0
Jan 17	37	23	-	30.0	7.0	0.00	0.0	0
Jan 18	42	22	-	32.0	9.0	0.00	0.0	0
Jan 19	44	29	-	36.5	13.5	Trace	0.0	0
Jan 20	40	27	-	33.5	10.4	0.00	0.0	0
Jan 21	41	6	-	23.5	0.4	0.06	1.8	2
Jan 22	20	3	-	11.5	-11.6	Trace	Trace	1
Jan 23	45	20	-	32.5	9.4	0.00	0.0	0
Jan 24	55	23	-	39.0	15.8	0.00	0.0	0
Jan 25	49	20	-	34.5	11.3	0.00	0.0	0
Jan 26	37	21	-	29.0	5.7	0.05	0.0	0
Jan 27	43	31	-	37.0	13.7	0.15	0.0	0
Jan 28	36	23	-	29.5	6.1	0.02	0.0	0
Jan 29	51	27	-	39.0	15.6	0.00	0.0	0
Jan 30	46	29	-	37.5	14.0	0.03	0.0	0
Jan 31	45	31	-	38.0	14.4	0.01	0.0	0
Sum	1148	591	-	-	-	0.69	7.9	-
Average	37	19.1	-	28	4.7	-	-	0.5
Normal	31.3	15.4	-	23.3	-	2.08	17.6	-
More information
ITHACA CORNELL UNIV, NY - February 1989
Date	Maximum Temperature	Minimum Temperature	At Obs Temperature	Average Temperature	Avg Temperature Departure	Precipitation	Snowfall	Snow Depth
Feb 1	53	33	-	43.0	19.4	0.00	0.0	0
Feb 2	60	23	-	41.5	17.8	0.00	0.0	0
Feb 3	24	18	-	21.0	-2.8	0.45	1.5	1
Feb 4	18	7	-	12.5	-11.4	0.13	3.0	4
Feb 5	12	8	-	10.0	-14.0	0.16	3.0	6
Feb 6	24	12	-	18.0	-6.1	0.03	0.8	5
Feb 7	28	17	-	22.5	-1.7	0.11	2.5	6
Feb 8	26	-7	-	9.5	-14.8	Trace	Trace	6
Feb 9	27	7	-	17.0	-7.4	Trace	Trace	5
Feb 10	13	0	-	6.5	-18.0	0.00	0.0	5
Feb 11	24	12	-	18.0	-6.6	0.00	0.0	5
Feb 12	29	14	-	21.5	-3.2	Trace	Trace	5
Feb 13	31	5	-	18.0	-6.9	Trace	Trace	4
Feb 14	39	19	-	29.0	4.0	Trace	0.0	2
Feb 15	41	27	-	34.0	8.9	0.05	Trace	1
Feb 16	36	26	-	31.0	5.7	0.33	0.3	1
Feb 17	26	22	-	24.0	-1.4	0.01	0.5	1
Feb 18	23	-2	-	10.5	-15.1	0.05	1.5	3
Feb 19	23	4	-	13.5	-12.2	0.00	0.0	3
Feb 20	35	18	-	26.5	0.6	0.00	0.0	2
Feb 21	39	30	-	34.5	8.4	0.33	0.0	Trace
Feb 22	47	30	-	38.5	12.2	0.01	0.0	Trace
Feb 23	33	19	-	26.0	-0.5	0.01	0.3	Trace
Feb 24	19	2	-	10.5	-16.2	0.01	0.2	Trace
Feb 25	18	1	-	9.5	-17.4	0.00	0.0	Trace
Feb 26	24	8	-	16.0	-11.1	0.01	0.4	Trace
Feb 27	33	19	-	26.0	-1.3	0.13	1.8	2
Feb 28	30	10	-	20.0	-7.5	Trace	Trace	Trace
Sum	835	382	-	-	-	1.82	15.8	-
Average	29.8	13.6	-	21.7	-3.6	-	-	2.4
Normal	34.0	16.5	-	25.3	-	1.98	14.2	-
More information
ITHACA CORNELL UNIV, NY - March 1989
Date	Maximum Temperature	Minimum Temperature	At Obs Temperature	Average Temperature	Avg Temperature Departure	Precipitation	Snowfall	Snow Depth
Mar 1	35	19	-	27.0	-0.8	0.02	0.2	Trace
Mar 2	29	13	-	21.0	-7.0	0.00	0.0	Trace
Mar 3	27	15	-	21.0	-7.2	0.03	0.5	Trace
Mar 4	33	20	-	26.5	-2.0	0.01	0.0	Trace
Mar 5	38	32	-	35.0	6.2	Trace	0.0	Trace
Mar 6	40	13	-	26.5	-2.6	0.24	Trace	Trace
Mar 7	17	3	-	10.0	-19.3	0.00	0.0	0
Mar 8	17	1	-	9.0	-20.6	0.00	0.0	0
Mar 9	35	11	-	23.0	-6.9	0.00	0.0	0
Mar 10	38	14	-	26.0	-4.2	0.00	0.0	0
Mar 11	40	20	-	30.0	-0.6	0.00	0.0	0
Mar 12	51	31	-	41.0	10.1	0.06	1.3	1
Mar 13	31	1	-	16.0	-15.2	0.00	0.0	1
Mar 14	42	14	-	28.0	-3.6	0.00	0.0	0
Mar 15	55	34	-	44.5	12.6	Trace	0.0	0
Mar 16	63	26	-	44.5	12.2	0.02	0.3	Trace
Mar 17	47	26	-	36.5	3.9	0.00	0.0	0
Mar 18	45	27	-	36.0	3.0	0.28	0.0	0
Mar 19	46	22	-	34.0	0.6	0.09	1.5	1
Mar 20	30	14	-	22.0	-11.8	0.00	0.0	Trace
Mar 21	37	26	-	31.5	-2.7	0.12	1.5	1
Mar 22	33	8	-	20.5	-14.1	Trace	Trace	1
Mar 23	31	14	-	22.5	-12.5	0.00	0.0	0
Mar 24	46	23	-	34.5	-0.9	Trace	0.0	0
Mar 25	36	32	-	34.0	-1.8	0.92	0.0	0
Mar 26	52	36	-	44.0	7.8	0.00	0.0	0
Mar 27	57	37	-	47.0	10.4	0.00	0.0	0
Mar 28	77	53	-	65.0	28.0	0.02	0.0	0
Mar 29	74	48	-	61.0	23.6	0.08	0.0	0
Mar 30	48	34	-	41.0	3.1	0.57	0.0	0
Mar 31	45	35	-	40.0	1.7	0.32	0.0	0
Sum	1295	702	-	-	-	2.78	5.3	-
Average	41.8	22.6	-	32.2	-0.4	-	-	0.2
Normal	42.0	23.1	-	32.6	-	2.64	11.7	-
More information
ITHACA CORNELL UNIV, NY - April 1989
Date	Maximum Temperature	Minimum Temperature	At Obs Temperature	Average Temperature	Avg Temperature Departure	Precipitation	Snowfall	Snow Depth
Apr 1	36	33	-	34.5	-4.2	0.35	1.7	1
Apr 2	36	23	-	29.5	-9.7	0.03	Trace	Trace
Apr 3	55	29	-	42.0	2.4	0.06	0.0	0
Apr 4	50	38	-	44.0	4.0	0.14	0.0	0
Apr 5	68	44	-	56.0	15.6	0.35	0.0	0
Apr 6	60	38	-	49.0	8.1	0.01	0.0	0
Apr 7	43	35	-	39.0	-2.3	0.00	0.0	0
Apr 8	47	30	-	38.5	-3.2	0.00	0.0	0
Apr 9	44	30	-	37.0	-5.1	Trace	0.0	0
Apr 10	47	26	-	36.5	-6.1	0.03	Trace	Trace
Apr 11	35	22	-	28.5	-14.5	0.00	0.0	0
Apr 12	39	23	-	31.0	-12.4	Trace	0.3	Trace
Apr 13	51	31	-	41.0	-2.8	0.00	0.0	0
Apr 14	44	23	-	33.5	-10.7	0.11	Trace	0
Apr 15	53	32	-	42.5	-2.1	0.00	0.0	0
Apr 16	51	39	-	45.0	0.0	0.03	0.0	0
Apr 17	55	30	-	42.5	-2.9	0.00	0.0	0
Apr 18	68	38	-	53.0	7.2	0.14	0.0	0
Apr 19	48	32	-	40.0	-6.2	0.08	0.0	0
Apr 20	51	32	-	41.5	-5.1	0.00	0.0	0
Apr 21	58	32	-	45.0	-2.0	0.00	0.0	0
Apr 22	56	23	-	39.5	-7.9	0.00	0.0	0
Apr 23	39	24	-	31.5	-16.2	0.00	0.0	0
Apr 24	44	23	-	33.5	-14.6	0.00	0.0	0
Apr 25	53	27	-	40.0	-8.5	Trace	0.0	0
Apr 26	56	33	-	44.5	-4.3	Trace	0.0	0
Apr 27	63	33	-	48.0	-1.2	0.00	0.0	0
Apr 28	59	25	-	42.0	-7.5	0.00	0.0	0
Apr 29	55	38	-	46.5	-3.4	0.00	0.0	0
Apr 30	59	45	-	52.0	1.8	0.13	0.0	0
Sum	1523	931	-	-	-	1.46	2.0	-
Average	50.8	31	-	40.9	-3.8	-	-	0
Normal	55.5	33.9	-	44.7	-	3.29	3.4	-
More information
ITHACA CORNELL UNIV, NY - May 1989
Date	Maximum Temperature	Minimum Temperature	At Obs Temperature	Average Temperature	Avg Temperature Departure	Precipitation	Snowfall	Snow Depth
May 1	73	42	-	57.5	6.9	0.00	0.0	0
May 2	54	45	-	49.5	-1.4	1.07	0.0	0
May 3	48	42	-	45.0	-6.3	0.01	0.0	0
May 4	49	32	-	40.5	-11.1	Trace	0.0	0
May 5	67	44	-	55.5	3.6	0.00	0.0	0
May 6	56	49	-	52.5	0.2	0.44	0.0	0
May 7	58	35	-	46.5	-6.1	0.73	0.0	0
May 8	42	34	-	38.0	-14.9	0.22	0.0	0
May 9	47	36	-	41.5	-11.7	0.02	0.0	0
May 10	63	47	-	55.0	1.5	0.12	0.0	0
May 11	52	44	-	48.0	-5.9	1.79	0.0	0
May 12	48	44	-	46.0	-8.2	0.25	0.0	0
May 13	56	43	-	49.5	-5.0	Trace	0.0	0
May 14	63	41	-	52.0	-2.8	0.00	0.0	0
May 15	62	44	-	53.0	-2.1	0.00	0.0	0
May 16	69	53	-	61.0	5.5	0.69	0.0	0
May 17	68	52	-	60.0	4.2	0.22	0.0	0
May 18	76	45	-	60.5	4.4	0.00	0.0	0
May 19	83	51	-	67.0	10.6	0.00	0.0	0
May 20	85	54	-	69.5	12.8	0.00	0.0	0
May 21	82	60	-	71.0	13.9	0.05	0.0	0
May 22	73	43	-	58.0	0.6	0.00	0.0	0
May 23	73	43	-	58.0	0.3	0.00	0.0	0
May 24	66	49	-	57.5	-0.5	0.39	0.0	0
May 25	63	44	-	53.5	-4.8	0.01	0.0	0
May 26	78	59	-	68.5	9.9	0.17	0.0	0
May 27	78	49	-	63.5	4.5	0.02	0.0	0
May 28	60	37	-	48.5	-10.8	0.04	0.0	0
May 29	66	36	-	51.0	-8.6	0.00	0.0	0
May 30	80	51	-	65.5	5.6	0.00	0.0	0
May 31	80	57	-	68.5	8.2	0.68	0.0	0
Sum	2018	1405	-	-	-	6.92	0.0	-
Average	65.1	45.3	-	55.2	-0.2	-	-	0
Normal	67.4	43.5	-	55.4	-	3.19	0.0	-
More information
ITHACA CORNELL UNIV, NY - June 1989
Date	Maximum Temperature	Minimum Temperature	At Obs Temperature	Average Temperature	Avg Temperature Departure	Precipitation	Snowfall	Snow Depth
Jun 1	79	65	-	72.0	11.4	0.21	0.0	0
Jun 2	83	64	-	73.5	12.6	0.11	0.0	0
Jun 3	76	53	-	64.5	3.3	0.09	0.0	0
Jun 4	79	62	-	70.5	9.0	0.89	0.0	0
Jun 5	70	47	-	58.5	-3.3	0.03	0.0	0
Jun 6	70	53	-	61.5	-0.6	0.51	0.0	0
Jun 7	69	52	-	60.5	-1.9	0.00	0.0	0
Jun 8	74	57	-	65.5	2.8	0.02	0.0	0
Jun 9	74	57	-	65.5	2.5	Trace	0.0	0
Jun 10	72	59	-	65.5	2.2	0.16	0.0	0
Jun 11	70	53	-	61.5	-2.1	0.00	0.0	0
Jun 12	71	44	-	57.5	-6.4	0.00	0.0	0
Jun 13	75	58	-	66.5	2.3	0.26	0.0	0
Jun 14	63	53	-	58.0	-6.5	0.05	0.0	0
Jun 15	60	55	-	57.5	-7.3	0.33	0.0	0
Jun 16	62	57	-	59.5	-5.5	0.37	0.0	0
Jun 17	77	61	-	69.0	3.7	0.99	0.0	0
Jun 18	73	54	-	63.5	-2.0	0.01	0.0	0
Jun 19	77	53	-	65.0	-0.8	0.00	0.0	0
Jun 20	82	62	-	72.0	6.0	Trace	0.0	0
Jun 21	74	66	-	70.0	3.8	0.34	0.0	0
Jun 22	82	68	-	75.0	8.5	0.11	0.0	0
Jun 23	82	66	-	74.0	7.3	Trace	0.0	0
Jun 24	83	65	-	74.0	7.1	0.13	0.0	0
Jun 25	83	60	-	71.5	4.4	Trace	0.0	0
Jun 26	82	59	-	70.5	3.3	0.00	0.0	0
Jun 27	84	60	-	72.0	4.6	0.00	0.0	0
Jun 28	88	60	-	74.0	6.4	0.34	0.0	0
Jun 29	78	53	-	65.5	-2.2	Trace	0.0	0
Jun 30	69	44	-	56.5	-11.4	0.00	0.0	0
Sum	2261	1720	-	-	-	4.95	0.0	-
Average	75.4	57.3	-	66.4	1.8	-	-	0
Normal	76.0	53.3	-	64.6	-	3.99	0.0	-
More information
ITHACA CORNELL UNIV, NY - July 1989
Date	Maximum Temperature	Minimum Temperature	At Obs Temperature	Average Temperature	Avg Temperature Departure	Precipitation	Snowfall	Snow Depth
Jul 1	75	51	-	63.0	-5.0	0.00	0.0	0
Jul 2	83	55	-	69.0	0.9	0.00	0.0	0
Jul 3	85	53	-	69.0	0.7	0.00	0.0	0
Jul 4	86	63	-	74.5	6.1	Trace	0.0	0
Jul 5	85	65	-	75.0	6.5	0.29	0.0	0
Jul 6	77	61	-	69.0	0.4	0.53	0.0	0
Jul 7	84	61	-	72.5	3.9	Trace	0.0	0
Jul 8	85	53	-	69.0	0.3	0.45	0.0	0
Jul 9	74	53	-	63.5	-5.3	Trace	0.0	0
Jul 10	84	64	-	74.0	5.2	0.00	0.0	0
Jul 11	89	59	-	74.0	5.1	0.69	0.0	0
Jul 12	79	54	-	66.5	-2.4	0.00	0.0	0
Jul 13	72	51	-	61.5	-7.5	Trace	0.0	0
Jul 14	77	52	-	64.5	-4.5	Trace	0.0	0
Jul 15	73	48	-	60.5	-8.5	0.00	0.0	0
Jul 16	77	52	-	64.5	-4.5	0.00	0.0	0
Jul 17	70	53	-	61.5	-7.5	0.04	0.0	0
Jul 18	78	54	-	66.0	-3.0	0.00	0.0	0
Jul 19	83	61	-	72.0	3.0	0.00	0.0	0
Jul 20	83	65	-	74.0	5.0	0.31	0.0	0
Jul 21	69	64	-	66.5	-2.5	0.03	0.0	0
Jul 22	74	66	-	70.0	1.0	Trace	0.0	0
Jul 23	83	62	-	72.5	3.5	0.46	0.0	0
Jul 24	85	60	-	72.5	3.5	Trace	0.0	0
Jul 25	88	63	-	75.5	6.5	0.00	0.0	0
Jul 26	87	64	-	75.5	6.6	0.00	0.0	0
Jul 27	87	65	-	76.0	7.1	0.00	0.0	0
Jul 28	85	67	-	76.0	7.1	0.27	0.0	0
Jul 29	72	47	-	59.5	-9.3	0.01	0.0	0
Jul 30	74	54	-	64.0	-4.8	Trace	0.0	0
Jul 31	76	54	-	65.0	-3.7	0.00	0.0	0
Sum	2479	1794	-	-	-	3.08	0.0	-
Average	80	57.9	-	68.9	0.1	-	-	0
Normal	79.9	57.7	-	68.8	-	3.83	0.0	-
More information
ITHACA CORNELL UNIV, NY - August 1989
Date	Maximum Temperature	Minimum Temperature	At Obs Temperature	Average Temperature	Avg Temperature Departure	Precipitation	Snowfall	Snow Depth
Aug 1	76	59	-	67.5	-1.2	Trace	0.0	0
Aug 2	75	57	-	66.0	-2.7	0.00	0.0	0
Aug 3	77	64	-	70.5	1.9	0.20	0.0	0
Aug 4	86	67	-	76.5	7.9	Trace	0.0	0
Aug 5	88	71	-	79.5	11.0	0.92	0.0	0
Aug 6	86	68	-	77.0	8.5	0.79	0.0	0
Aug 7	84	60	-	72.0	3.6	0.70	0.0	0
Aug 8	63	46	-	54.5	-13.8	Trace	0.0	0
Aug 9	66	44	-	55.0	-13.3	0.00	0.0	0
Aug 10	73	49	-	61.0	-7.2	0.00	0.0	0
Aug 11	79	55	-	67.0	-1.1	0.00	0.0	0
Aug 12	75	58	-	66.5	-1.6	0.10	0.0	0
Aug 13	69	61	-	65.0	-3.0	0.04	0.0	0
Aug 14	78	57	-	67.5	-0.4	0.00	0.0	0
Aug 15	82	61	-	71.5	3.7	0.00	0.0	0
Aug 16	83	63	-	73.0	5.3	Trace	0.0	0
Aug 17	78	50	-	64.0	-3.6	0.00	0.0	0
Aug 18	73	43	-	58.0	-9.5	0.00	0.0	0
Aug 19	74	49	-	61.5	-5.9	0.00	0.0	0
Aug 20	72	58	-	65.0	-2.2	0.13	0.0	0
Aug 21	76	65	-	70.5	3.4	0.28	0.0	0
Aug 22	82	56	-	69.0	2.0	0.20	0.0	0
Aug 23	78	62	-	70.0	3.2	Trace	0.0	0
Aug 24	76	52	-	64.0	-2.7	Trace	0.0	0
Aug 25	72	40	-	56.0	-10.5	0.00	0.0	0
Aug 26	69	40	-	54.5	-11.8	0.00	0.0	0
Aug 27	72	43	-	57.5	-8.6	0.00	0.0	0
Aug 28	74	50	-	62.0	-3.9	0.00	0.0	0
Aug 29	80	59	-	69.5	3.8	Trace	0.0	0
Aug 30	73	65	-	69.0	3.5	0.06	0.0	0
Aug 31	77	53	-	65.0	-0.3	0.00	0.0	0
Sum	2366	1725	-	-	-	3.42	0.0	-
Average	76.3	55.6	-	66	-1.4	-	-	0
Normal	78.6	56.3	-	67.4	-	3.63	0.0	-
More information
ITHACA CORNELL UNIV, NY - September 1989
Date	Maximum Temperature	Minimum Temperature	At Obs Temperature	Average Temperature	Avg Temperature Departure	Precipitation	Snowfall	Snow Depth
Sep 1	76	58	-	67.0	2.0	Trace	0.0	-
Sep 2	71	59	-	65.0	0.2	0.30	0.0	-
Sep 3	70	43	-	56.5	-8.0	0.00	0.0	-
Sep 4	71	40	-	55.5	-8.7	0.00	0.0	-
Sep 5	72	47	-	59.5	-4.4	0.00	0.0	-
Sep 6	73	53	-	63.0	-0.6	0.00	0.0	-
Sep 7	78	58	-	68.0	4.7	0.00	0.0	-
Sep 8	82	63	-	72.5	9.5	0.00	0.0	-
Sep 9	82	66	-	74.0	11.3	Trace	0.0	-
Sep 10	87	68	-	77.5	15.2	0.00	0.0	-
Sep 11	87	62	-	74.5	12.5	0.00	0.0	-
Sep 12	69	53	-	61.0	-0.6	Trace	0.0	-
Sep 13	74	51	-	62.5	1.3	0.00	0.0	-
Sep 14	75	54	-	64.5	3.6	Trace	0.0	-
Sep 15	60	56	-	58.0	-2.5	1.22	0.0	-
Sep 16	65	50	-	57.5	-2.6	Trace	0.0	-
Sep 17	62	56	-	59.0	-0.7	0.36	0.0	-
Sep 18	64	48	-	56.0	-3.3	0.13	0.0	-
Sep 19	70	49	-	59.5	0.6	0.00	0.0	-
Sep 20	62	52	-	57.0	-1.5	1.82	0.0	-
Sep 21	65	54	-	59.5	1.4	0.01	0.0	-
Sep 22	78	56	-	67.0	9.4	0.00	0.0	-
Sep 23	78	53	-	65.5	8.3	0.67	0.0	-
Sep 24	53	40	-	46.5	-10.3	0.51	0.0	-
Sep 25	53	32	-	42.5	-13.9	0.01	0.0	-
Sep 26	62	40	-	51.0	-4.9	0.00	0.0	-
Sep 27	64	38	-	51.0	-4.5	0.05	0.0	-
Sep 28	51	30	-	40.5	-14.6	0.00	0.0	-
Sep 29	67	41	-	54.0	-0.7	0.00	0.0	-
Sep 30	74	37	-	55.5	1.2	0.00	0.0	-
Sum	2095	1507	-	-	-	5.08	0.0	-
Average	69.8	50.2	-	60	0	-	-	-
Normal	71.1	49.0	-	60	-	3.69	0.0	-
More information
ITHACA CORNELL UNIV, NY - October 1989
Date	Maximum Temperature	Minimum Temperature	At Obs Temperature	Average Temperature	Avg Temperature Departure	Precipitation	Snowfall	Snow Depth
Oct 1	67	40	-	53.5	-0.4	0.00	0.0	0
Oct 2	70	51	-	60.5	7.0	0.09	0.0	0
Oct 3	71	47	-	59.0	5.9	Trace	0.0	0
