ITHACA CORNELL UNIV, NY - January 1893
Date	Maximum Temperature	Minimum Temperature	At Obs Temperature	Average Temperature	Avg Temperature Departure	Precipitation	Snowfall	Snow Depth
ITHACA CORNELL UNIV, NY - September 1893
Date	Maximum Temperature	Minimum Temperature	At Obs Temperature	Average Temperature	Avg Temperature Departure	Precipitation	Snowfall	Snow Depth
Sep 1	72	48	-	60.0	-5.0	0.00	-	-
Sep 2	63	49	-	56.0	-8.8	0.00	-	-
Sep 3	68	40	-	54.0	-10.5	0.00	-	-
Sep 4	70	53	-	61.5	-2.7	0.00	-	-
Sep 5	80	57	-	68.5	4.6	0.00	-	-
Sep 6	66	49	-	57.5	-6.1	0.00	-	-
Sep 7	67	47	-	57.0	-6.3	2.00	-	-
Sep 8	61	49	-	55.0	-8.0	0.00	-	-
Sep 9	72	40	-	56.0	-6.7	0.00	-	-
Sep 10	73	55	-	64.0	1.7	0.00	-	-
Sep 11	70	49	-	59.5	-2.5	0.00	-	-
Sep 12	66	51	-	58.5	-3.1	0.00	-	-
Sep 13	71	58	-	64.5	3.3	0.04	-	-
Sep 14	73	64	-	68.5	7.6	Trace	-	-
Sep 15	70	63	-	66.5	6.0	1.05	-	-
Sep 16	65	50	-	57.5	-2.6	0.35	-	-
Sep 17	63	51	-	57.0	-2.7	0.00	-	-
Sep 18	60	46	-	53.0	-6.3	0.09	-	-
Sep 19	76	58	-	67.0	8.1	0.21	-	-
Sep 20	68	53	-	60.5	2.0	0.00	-	-
Sep 21	63	40	-	51.5	-6.6	0.00	-	-
Sep 22	73	51	-	62.0	4.4	Trace	-	-
Sep 23	62	43	-	52.5	-4.7	0.04	-	-
Sep 24	64	44	-	54.0	-2.8	Trace	-	-
Sep 25	66	53	-	59.5	3.1	0.38	-	-
Sep 26	55	40	-	47.5	-8.4	0.00	-	-
Sep 27	58	39	-	48.5	-7.0	0.00	-	-
Sep 28	58	44	-	51.0	-4.1	0.02	-	-
Sep 29	50	42	-	46.0	-8.7	0.20	-	-
Sep 30	55	40	-	47.5	-6.8	0.00	-	-
Sum	1978	1466	-	-	-	4.38	-	-
Average	65.9	48.9	-	57.4	-2.6	-	-	-
Normal	71.1	49.0	-	60	-	3.69	0.0	-
More information
ITHACA CORNELL UNIV, NY - October 1893
Date	Maximum Temperature	Minimum Temperature	At Obs Temperature	Average Temperature	Avg Temperature Departure	Precipitation	Snowfall	Snow Depth
Oct 1	56	36	-	46.0	-7.9	0.00	-	-
Oct 2	63	39	-	51.0	-2.5	0.00	-	-
Oct 3	74	41	-	57.5	4.4	0.00	-	-
Oct 4	63	55	-	59.0	6.3	0.20	-	-
Oct 5	64	53	-	58.5	6.2	0.00	-	-
Oct 6	63	46	-	54.5	2.6	Trace	-	-
Oct 7	65	49	-	57.0	5.5	0.00	-	-
Oct 8	67	41	-	54.0	2.9	0.00	-	-
Oct 9	74	53	-	63.5	12.7	0.00	-	-
Oct 10	58	42	-	50.0	-0.4	0.00	-	-
Oct 11	73	34	-	53.5	3.4	0.00	-	-
Oct 12	76	51	-	63.5	13.8	0.00	-	-
Oct 13	67	51	-	59.0	9.6	0.20	-	-
Oct 14	68	49	-	58.5	9.5	1.09	-	-
Oct 15	50	41	-	45.5	-3.2	0.10	-	-
Oct 16	42	31	-	36.5	-11.9	Trace	-	-
Oct 17	60	25	-	42.5	-5.6	0.00	-	-
Oct 18	59	33	-	46.0	-1.8	0.00	-	-
Oct 19	59	30	-	44.5	-3.0	0.00	-	-
Oct 20	57	48	-	52.5	5.3	0.00	-	-
Oct 21	67	48	-	57.5	10.6	Trace	-	-
Oct 22	70	41	-	55.5	8.9	0.00	-	-
Oct 23	64	56	-	60.0	13.6	0.01	-	-
Oct 24	72	58	-	65.0	18.9	0.00	-	-
Oct 25	64	38	-	51.0	5.2	Trace	-	-
Oct 26	54	28	-	41.0	-4.6	0.00	-	-
Oct 27	57	45	-	51.0	5.7	0.27	-	-
Oct 28	52	39	-	45.5	0.5	0.28	-	-
Oct 29	40	33	-	36.5	-8.3	0.00	-	-
Oct 30	39	27	-	33.0	-11.5	0.00	-	-
Oct 31	44	21	-	32.5	-11.8	0.00	-	-
Sum	1881	1282	-	-	-	2.15	-	-
Average	60.7	41.4	-	51	2.3	-	-	-
Normal	59.0	38.3	-	48.7	-	3.42	0.4	-
More information
ITHACA CORNELL UNIV, NY - November 1893
Date	Maximum Temperature	Minimum Temperature	At Obs Temperature	Average Temperature	Avg Temperature Departure	Precipitation	Snowfall	Snow Depth
Nov 1	57	36	-	46.5	2.5	0.00	0.0	-
Nov 2	60	44	-	52.0	8.3	0.00	0.0	-
Nov 3	52	34	-	43.0	-0.5	0.10	0.0	-
Nov 4	34	29	-	31.5	-11.7	0.32	Trace	-
Nov 5	38	30	-	34.0	-8.9	0.00	0.0	-
Nov 6	51	30	-	40.5	-2.2	0.00	0.0	-
Nov 7	53	24	-	38.5	-3.9	0.00	0.0	-
Nov 8	51	39	-	45.0	2.9	0.00	0.0	-
Nov 9	51	31	-	41.0	-0.8	0.00	0.0	-
Nov 10	48	23	-	35.5	-6.0	0.00	0.0	-
Nov 11	49	32	-	40.5	-0.7	0.00	0.0	-
Nov 12	52	28	-	40.0	-0.9	0.00	0.0	-
Nov 13	52	39	-	45.5	4.9	0.00	0.0	-
Nov 14	49	27	-	38.0	-2.3	Trace	0.0	-
Nov 15	37	25	-	31.0	-9.0	Trace	Trace	-
Nov 16	33	20	-	26.5	-13.2	Trace	Trace	-
Nov 17	52	21	-	36.5	-2.8	0.00	0.0	-
Nov 18	50	32	-	41.0	2.0	0.04	Trace	-
Nov 19	35	26	-	30.5	-8.1	Trace	Trace	-
Nov 20	31	22	-	26.5	-11.8	Trace	Trace	-
Nov 21	36	22	-	29.0	-8.9	0.12	Trace	-
Nov 22	48	33	-	40.5	2.9	0.10	0.0	-
Nov 23	39	31	-	35.0	-2.2	Trace	Trace	-
Nov 24	31	23	-	27.0	-9.8	0.05	1.0	-
Nov 25	29	22	-	25.5	-10.9	Trace	Trace	-
Nov 26	27	20	-	23.5	-12.5	Trace	Trace	-
Nov 27	39	19	-	29.0	-6.7	0.05	0.0	-
Nov 28	50	38	-	44.0	8.7	0.47	0.0	-
Nov 29	51	31	-	41.0	6.1	Trace	0.0	-
Nov 30	51	36	-	43.5	9.0	0.00	0.0	-
Sum	1336	867	-	-	-	1.25	1.0	-
Average	44.5	28.9	-	36.7	-2.9	-	-	-
Normal	47.5	31.7	-	39.6	-	3.16	4.5	-
More information
ITHACA CORNELL UNIV, NY - December 1893
Date	Maximum Temperature	Minimum Temperature	At Obs Temperature	Average Temperature	Avg Temperature Departure	Precipitation	Snowfall	Snow Depth
Dec 1	39	19	-	29.0	-5.1	0.16	2.0	-
Dec 2	22	12	-	17.0	-16.7	0.00	0.0	-
Dec 3	41	17	-	29.0	-4.3	0.35	4.0	-
Dec 4	24	6	-	15.0	-17.9	0.10	1.0	-
Dec 5	20	0	-	10.0	-22.5	0.00	0.0	-
Dec 6	34	13	-	23.5	-8.6	0.00	0.0	-
Dec 7	33	22	-	27.5	-4.2	Trace	Trace	-
Dec 8	30	6	-	18.0	-13.3	0.00	0.0	-
Dec 9	39	27	-	33.0	2.1	Trace	0.0	-
Dec 10	41	31	-	36.0	5.5	0.00	0.0	-
Dec 11	32	15	-	23.5	-6.6	0.30	3.0	-
Dec 12	38	15	-	26.5	-3.2	Trace	Trace	-
Dec 13	19	2	-	10.5	-18.9	0.10	1.0	-
Dec 14	19	0	-	9.5	-19.5	0.13	2.0	-
Dec 15	49	19	-	34.0	5.3	0.42	0.0	-
Dec 16	54	37	-	45.5	17.2	0.00	0.0	-
Dec 17	37	21	-	29.0	1.0	0.01	0.1	-
Dec 18	29	16	-	22.5	-5.2	Trace	Trace	-
Dec 19	35	22	-	28.5	1.2	0.10	1.0	-
Dec 20	22	11	-	16.5	-10.5	Trace	Trace	-
Dec 21	43	15	-	29.0	2.3	0.00	0.0	-
Dec 22	41	35	-	38.0	11.6	0.04	0.0	-
Dec 23	55	40	-	47.5	21.3	0.00	0.0	-
Dec 24	54	37	-	45.5	19.6	0.01	0.0	-
Dec 25	62	51	-	56.5	30.8	0.10	0.0	-
Dec 26	51	15	-	33.0	7.6	0.02	0.4	-
Dec 27	33	14	-	23.5	-1.7	0.01	0.1	-
Dec 28	44	27	-	35.5	10.5	Trace	Trace	-
Dec 29	45	30	-	37.5	12.7	0.09	0.0	-
Dec 30	30	18	-	24.0	-0.6	0.00	0.0	-
Dec 31	25	18	-	21.5	-2.9	0.09	1.0	-
Sum	1140	611	-	-	-	2.03	15.6	-
Average	36.8	19.7	-	28.2	-0.5	-	-	-
Normal	35.8	21.5	-	28.7	-	2.40	12.6	-
More information
ITHACA CORNELL UNIV, NY - January 1894
Date	Maximum Temperature	Minimum Temperature	At Obs Temperature	Average Temperature	Avg Temperature Departure	Precipitation	Snowfall	Snow Depth
Jan 1	32	22	-	27.0	2.8	0.00	0.0	-
Jan 2	44	23	-	33.5	9.4	0.00	0.0	-
Jan 3	41	34	-	37.5	13.6	Trace	0.0	-
Jan 4	58	39	-	48.5	24.7	Trace	0.0	-
Jan 5	41	26	-	33.5	9.8	0.80	0.0	-
Jan 6	32	24	-	28.0	4.4	0.08	1.0	-
Jan 7	36	27	-	31.5	8.0	0.00	0.0	-
Jan 8	27	16	-	21.5	-1.9	0.00	0.0	-
Jan 9	28	16	-	22.0	-1.3	0.00	0.0	-
Jan 10	33	19	-	26.0	2.7	0.01	0.1	-
Jan 11	38	25	-	31.5	8.3	0.01	Trace	-
Jan 12	34	16	-	25.0	1.8	Trace	Trace	-
Jan 13	29	10	-	19.5	-3.6	0.05	1.0	-
Jan 14	44	26	-	35.0	11.9	0.02	0.2	-
Jan 15	43	32	-	37.5	14.4	0.44	0.0	-
Jan 16	41	31	-	36.0	13.0	0.11	Trace	-
Jan 17	41	29	-	35.0	12.0	0.00	0.0	-
Jan 18	39	28	-	33.5	10.5	0.02	0.0	-
Jan 19	38	23	-	30.5	7.5	0.11	0.0	-
Jan 20	41	18	-	29.5	6.4	0.00	0.0	-
Jan 21	41	31	-	36.0	12.9	0.04	0.0	-
Jan 22	39	29	-	34.0	10.9	0.00	0.0	-
Jan 23	32	27	-	29.5	6.4	Trace	0.0	-
Jan 24	48	30	-	39.0	15.8	0.06	0.0	-
Jan 25	32	14	-	23.0	-0.2	Trace	0.0	-
Jan 26	27	5	-	16.0	-7.3	0.00	0.0	-
Jan 27	27	20	-	23.5	0.2	0.08	1.0	-
Jan 28	30	15	-	22.5	-0.9	0.00	0.0	-
Jan 29	36	25	-	30.5	7.1	0.30	9.0	-
Jan 30	32	25	-	28.5	5.0	0.65	0.0	-
Jan 31	32	24	-	28.0	4.4	Trace	Trace	-
Sum	1136	729	-	-	-	2.78	12.3	-
